role_id,role_name
930,"Cleaning, Washing, and Metal Pickling Equipment Operator"
931,Cooling and Freezing Equipment Operator
932,Etcher
933,Shaper
934,Paper Goods Machine Setter
935,Tire Builder
936,Medical Appliance Technician
937,"Coating, Painting, and Spraying Machine Operator"
938,"Coating, Painting, and Spraying Machine Tender"
939,"Cleaning, Washing, and Metal Pickling Equipment Tender"
940,Cooling and Freezing Equipment Tender
941,Engraver
942,Paper Goods Machine Operator
943,Paper Goods Machine Tender
944,Supervisor of Transportation and Material Moving Workers
945,First-Line Supervisor of Transportation and Material Moving Worker
946,Aircraft Cargo Handling Supervisor
947,Air Transportation Worker
948,Aircraft Pilot
949,Airline Copilot
950,Commercial Pilot
951,Air Traffic Controller  
952,Ambulance Driver
953,Truck Driver
954,Flight Attendant
955,Motor Vehicle Operator
956,Ambulance Attendant
957,Driver
958,Sales Worker
959,Heavy and Tractor-Trailer Truck Driver
960,Light Truck Driver
961,Flight Engineer
962,Airfield Operations Specialist
963,Ship and Boat Captain 
964,Pilot of Water Vessels
965,Motorboat Operator
966,Ship Engineer
967,Ship and Boat Operator
968,Bridge and Lock Tender
969,Traffic Technician
970,"Chef, Fast Food"
971,"Chef, Institution and Cafeteria"
972,"Chef, Private Household"
973,"Chef, Restaurant"
974,"Chef, Short Order"
975,"Chef, All Other"
976,Food Preparation Worker
977,Miscellaneous Food Processing Worker
978,Food and Beverage Serving Worker
979,Bartender
980,"Meat, Poultry and Fish Trimmer"
981,Fast Food and Counter Worker
982,Meat Packer
983,Waiter
984,Waitress
985,"Food Server, Nonrestaurant"
986,Slaughterer
987,Bartender Helper
988,Dining Room and Cafeteria Attendant 
989,"Meat, Poultry and Fish Cutter"
990,Dishwasher
991,Butcher
992,Host
993,Hostess
994,Baker
995,Serving Related Worker
996,Animal Trainer
997,Animal Caretaker
998,Food Batchmaker
999,Food Cooking Machine Operator
1000,Food Cooking Machine Tender
