id,name,world_rank,country
1674,Keele University,674,United Kingdom
1675,University of Poitiers,675,France
1676,University of Insubria,676,Italy
1677,Wuhan University of Technology,677,China
1678,University of Pretoria,678,South Africa
1679,Banaras Hindu University,679,India
1680,University of L'Aquila,680,Italy
1681,University of Alicante,681,Spain
1682,American University of Beirut,682,Lebanon
1683,University of Ulster,683,United Kingdom
1684,Shanghai University,684,China
1685,Comenius University in Bratislava,685,Slovak Republic
1686,University of Vigo,686,Spain
1687,"University of Nevada, Las Vegas",687,USA
1688,Swinburne University of Technology,688,Australia
1689,Tilburg University,689,Netherlands
1690,University of Messina,690,Italy
1691,Kaiserslautern University of Technology,691,Germany
1692,University of Kent,692,United Kingdom
1693,University of Málaga,693,Spain
1694,Loughborough University,694,United Kingdom
1695,National Technical University of Athens,695,Greece
1696,Liverpool John Moores University,696,United Kingdom
1697,Sharif University of Technology,697,Iran
1698,"Birkbeck, University of London",698,United Kingdom
1699,"University François Rabelais, Tours",699,France
1700,University of Haifa,700,Israel
1701,Roma Tre University,701,Italy
1702,Masaryk University,702,Czech Republic
1703,University of Salerno,703,Italy
1704,King Abdullah University of Science and Technology,704,Saudi Arabia
1705,Beihang University,705,China
1706,Fuzhou University,706,China
1707,Heriot-Watt University,707,United Kingdom
1708,China Medical University (Taiwan),708,Taiwan
1709,University of Cantabria,709,Spain
1710,Rochester Institute of Technology,710,USA
1711,Royal College of Surgeons in Ireland,711,Ireland
1712,San Francisco State University,712,USA
1713,Sapporo Medical University,713,Japan
1714,Indian Institute of Technology Kanpur,714,India
1715,Johannes Kepler University of Linz,715,Austria
1716,Czech Technical University in Prague,716,Czech Republic
1717,Marquette University,717,USA
1718,Missouri University of Science and Technology,718,USA
1719,Howard University,719,USA
1720,Aston University,720,United Kingdom
1721,École normale supérieure de Cachan,721,France
1722,Jichi Medical University,722,Japan
1723,"Rutgers, The State University of New Jersey - Newark",723,USA
1724,"Palacký University, Olomouc",724,Czech Republic
1725,Ankara University,725,Turkey
1726,University of Belgrade,726,Serbia
1727,Toho University,727,Japan
1728,Kyoto Prefectural University of Medicine,728,Japan
1729,Swansea University,729,United Kingdom
1730,Université de Namur,730,Belgium
1731,University of Szeged,731,Hungary
1732,Kitasato University,732,Japan
1733,Hasselt University,733,Belgium
1734,University of Córdoba (Spain),734,Spain
1735,Åbo Akademi University,735,Finland
1736,Tottori University,736,Japan
1737,Kindai University,737,Japan
1738,University of Castilla–La Mancha,738,Spain
1739,University of Augsburg,739,Germany
1740,"Paul Valéry University, Montpellier III",740,France
1741,University of Mons,741,Belgium
1742,Istanbul Technical University,742,Turkey
1743,"University of Natural Resources and Life Sciences, Vienna",743,Austria
1744,National University of La Plata,744,Argentina
1745,University of Calabria,745,Italy
1746,University of Memphis,746,USA
1747,"G. d'Annunzio University, Chieti-Pescara",747,Italy
1748,University of Missouri–St. Louis,748,USA
1749,Beijing Institute of Technology,749,China
1750,University of Évry Val d'Essonne,750,France
1751,University of South Australia,751,Australia
1752,University of Alabama in Huntsville,752,USA
1753,University of Salzburg,753,Austria
